Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","04/26/2022","1185","N882UA","ORD","21:59","21:37","113","98","-22","21:33","4","0","0","0","0","0"
"UA","04/26/2022","2027","N839UA","IAD","23:37","00:54","70","59","77","00:49","5","2","0","0","0","75"
"UA","04/26/2023","0538","N808UA","ORD","21:34","23:20","114","126","106","23:16","4","0","0","12","0","94"
"UA","04/26/2023","0604","N812UA","DEN","15:12","15:01","201","195","-11","14:55","6","0","0","0","0","0"
"UA","04/26/2023","1412","N24706","EWR","23:42","23:30","72","63","-12","23:24","6","0","0","0","0","0"
"UA","04/27/2019","0607","N456UA","ORD","21:02","21:31","110","139","29","21:25","6","0","0","29","0","0"
"UA","04/27/2022","1041","N462UA","DEN","15:06","15:00","198","196","-6","14:48","12","0","0","0","0","0"
"UA","04/27/2022","1185","N878UA","ORD","21:59","21:41","113","100","-18","21:35","6","0","0","0","0","0"
"UA","04/27/2022","2027","N825UA","IAD","23:37","23:54","70","63","17","23:48","6","17","0","0","0","0"
"UA","04/27/2023","0538","N440UA","ORD","21:34","21:12","114","97","-22","21:05","7","0","0","0","0","0"
"UA","04/27/2023","0604","N829UA","DEN","15:12","14:56","201","193","-16","14:52","4","0","0","0","0","0"
"UA","04/27/2023","1412","N33714","EWR","23:42","23:27","72","61","-15","23:20","7","0","0","0","0","0"
"UA","04/28/2019","0607","N25705","ORD","21:02","20:50","110","103","-12","20:45","5","0","0","0","0","0"
"UA","04/28/2022","1041","N823UA","DEN","15:06","15:57","198","200","51","15:54","3","49","0","2","0","0"
"UA","04/28/2022","1185","N899UA","ORD","21:59","21:42","113","101","-17","21:38","4","0","0","0","0","0"
"UA","04/28/2022","2027","N898UA","IAD","23:37","23:53","70","71","16","23:47","6","4","0","1","0","11"
"UA","04/28/2023","0538","N37255","ORD","21:34","21:18","114","97","-16","21:13","5","0","0","0","0","0"
"UA","04/28/2023","0604","N898UA","DEN","15:12","15:02","201","199","-10","14:55","7","0","0","0","0","0"
"UA","04/28/2023","1412","N24736","EWR","23:42","00:23","72","68","41","00:16","7","26","0","0","0","15"
"UA","04/29/2019","0607","N1902U","ORD","21:03","21:46","111","99","43","21:42","4","0","0","0","0","43"
"UA","04/29/2022","1041","N427UA","DEN","15:06","15:06","198","198","0","15:03","3","0","0","0","0","0"
"UA","04/29/2022","1185","N802UA","ORD","21:59","21:38","113","105","-21","21:34","4","0","0","0","0","0"
"UA","04/29/2022","2027","N455UA","IAD","23:37","23:54","70","65","17","23:49","5","17","0","0","0","0"
"UA","04/29/2023","0538","N804UA","ORD","21:34","22:21","114","107","47","22:15","6","3","0","0","0","44"
"UA","04/29/2023","0604","N421UA","DEN","15:12","14:59","201","195","-13","14:54","5","0","0","0","0","0"
"UA","04/29/2023","1412","N37548","EWR","23:14","00:14","72","104","60","00:10","4","28","0","32","0","0"
"UA","04/30/2019","0607","N440UA","ORD","21:03","23:07","111","100","124","23:02","5","0","0","0","0","124"
"UA","04/30/2022","1041","N824UA","DEN","15:11","15:02","202","201","-9","14:58","4","0","0","0","0","0"
"UA","04/30/2022","1185","N878UA","ORD","20:58","01:34","113","119","276","01:30","4","11","0","6","0","259"
