Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","03/14/2019","1932","N814AW","CLT","15:16","15:47","111","99","31","15:44","3","8","0","0","0","23"
"AA","03/14/2019","1976","N118US","CLT","00:03","23:57","108","97","-6","23:52","5","0","0","0","0","0"
"AA","03/14/2022","0404","N580UW","CLT","16:38","16:40","114","113","2","16:36","4","0","0","0","0","0"
"AA","03/14/2022","0421","N803AW","DFW","22:41","00:12","186","235","91","00:07","5","0","42","49","0","0"
"AA","03/14/2022","1976","N764US","CLT","00:32","00:33","112","117","1","00:30","3","0","0","0","0","0"
"AA","03/14/2022","2730","N660AW","CLT","11:01","10:54","111","106","-7","10:49","5","0","0","0","0","0"
"AA","03/14/2023","1880","N836AW","DFW","22:43","00:00","182","0","0","00:00","0","0","0","0","0","0"
"AA","03/15/2016","1971","N824AW","CLT","00:11","23:59","106","100","-12","23:56","3","0","0","0","0","0"
"AA","03/15/2016","2036","N730US","CLT","18:10","17:52","110","99","-18","17:49","3","0","0","0","0","0"
"AA","03/15/2017","1835","N112AA","CLT","00:01","00:25","106","119","24","00:20","5","11","0","13","0","0"
"AA","03/15/2017","2036","N708AA","CLT","18:29","18:36","113","121","7","18:29","7","0","0","0","0","0"
"AA","03/15/2018","1794","N153UW","CLT","00:15","00:21","110","118","6","00:17","4","0","0","0","0","0"
"AA","03/15/2018","2036","N742PS","CLT","18:32","18:37","118","130","5","18:34","3","0","0","0","0","0"
"AA","03/15/2019","1932","N833AW","CLT","15:16","15:12","111","108","-4","15:08","4","0","0","0","0","0"
"AA","03/15/2019","1976","N122US","CLT","00:03","00:08","108","102","5","00:03","5","0","0","0","0","0"
"AA","03/15/2022","0404","N976UY","CLT","16:38","16:22","114","100","-16","16:18","4","0","0","0","0","0"
"AA","03/15/2022","0421","N778XF","DFW","22:41","23:52","186","197","71","23:48","4","31","0","11","0","29"
"AA","03/15/2022","1976","N768US","CLT","22:43","22:38","118","113","-5","22:34","4","0","0","0","0","0"
"AA","03/15/2022","2730","N660AW","CLT","11:01","11:09","111","121","8","11:05","4","0","0","0","0","0"
"AA","03/15/2023","0404","N745VJ","CLT","18:10","18:19","107","119","9","18:13","6","0","0","0","0","0"
"AA","03/15/2023","1880","N744P","DFW","22:43","23:40","182","191","57","23:36","4","16","0","9","0","32"
"AA","03/16/2016","1971","N758US","CLT","00:11","23:49","106","90","-22","23:46","3","0","0","0","0","0"
"AA","03/16/2016","2036","N740UW","CLT","18:10","17:58","110","100","-12","17:54","4","0","0","0","0","0"
"AA","03/16/2017","1835","N117AA","CLT","00:01","00:11","106","120","10","00:06","5","0","0","0","0","0"
"AA","03/16/2017","2036","N737AA","CLT","18:29","18:20","113","110","-9","18:15","5","0","0","0","0","0"
